,PFE
1753,45.4025
1754,45.4
1755,45.405
1756,45.405
1757,45.405
1758,45.44
1759,45.43
1760,45.45
1761,45.44
1762,45.43
1763,45.415
1764,45.42
1765,45.44
1766,45.41
1767,45.42
1768,45.4
1769,45.405
1770,45.41
1771,45.39
1772,45.39
1773,45.38
1774,45.39
1775,45.3867
1776,45.39
1777,45.39
1778,45.39
1779,45.38
1780,45.39
1781,45.38
1782,45.42
1783,45.43
1784,45.43
1785,45.41
1786,45.38
1787,45.39
1788,45.43
1789,45.4201
1790,45.43
1791,45.44
1792,45.43
1793,45.425
1794,45.435
1795,45.45
1796,45.42
1797,45.45
1798,45.455
1799,45.44
1800,45.45
1801,45.45
1802,45.44
1803,45.44
1804,45.425
1805,45.415
1806,45.43
1807,45.41
1808,45.41
1809,45.415
1810,45.4266
1811,45.42
1812,45.4299
1813,45.42
1814,45.44
1815,45.43
1816,45.415
1817,45.43
1818,45.43
1819,45.425
1820,45.42
1821,45.43
1822,45.44
1823,45.44
1824,45.445
1825,45.44
1826,45.48
1827,45.5
1828,45.51
1829,45.52
1830,45.52
1831,45.505
1832,45.5
1833,45.4833
1834,45.51
1835,45.51
1836,45.5
1837,45.52
1838,45.51
1839,45.52
1840,45.535
1841,45.515
1842,45.52
1843,45.5133
1844,45.5155
1845,45.52
1846,45.52
1847,45.52
1848,45.515
1849,45.52
1850,45.52
1851,45.5243
1852,45.52
1853,45.505
1854,45.5
1855,45.49
1856,45.5
1857,45.505
1858,45.505
1859,45.52
1860,45.51
1861,45.5
1862,45.49
1863,45.49
1864,45.485
1865,45.505
1866,45.495
1867,45.5
1868,45.49
1869,45.4911
1870,45.4967
1871,45.51
1872,45.515
1873,45.53
1874,45.52
1875,45.52
1876,45.52
1877,45.51
1878,45.52
1879,45.52
1880,45.51
1881,45.506
1882,45.5
1883,45.475
1884,45.5
1885,45.51
1886,45.495
1887,45.51
1888,45.5135
1889,45.51
1890,45.51
1891,45.515
1892,45.5
1893,45.484
1894,45.4818
1895,45.4826
1896,45.48
1897,45.48
1898,45.46
1899,45.46
1900,45.45
1901,45.44
1902,45.44
1903,45.42
1904,45.39
1905,45.41
1906,45.4
1907,45.37
1908,45.37
1909,45.36
1910,45.38
1911,45.365
1912,45.375
1913,45.3443
1914,45.36
1915,45.375
1916,45.36
1917,45.345
1918,45.34
1919,45.3654
1920,45.36
1921,45.33
1922,45.335
1923,45.315
1924,45.31
1925,45.33
1926,45.325
1927,45.33
1928,45.3247
1929,45.33
1930,45.327
1931,45.34
1932,45.34
1933,45.3241
1934,45.33
1935,45.31
1936,45.29
1937,45.3
1938,45.32
1939,45.31
1940,45.3
1941,45.3
1942,45.31
1943,45.31
1944,45.34
1945,45.325
1946,45.32
1947,45.33
1948,45.325
1949,45.32
1950,45.3201
1951,45.32
1952,45.3
1953,45.3
1954,45.295
1955,45.285
1956,45.2872
1957,45.255
1958,45.29
1959,45.285
1960,45.295
1961,45.28
1962,45.27
1963,45.28
1964,45.27
1965,45.26
1966,45.285
1967,45.28
1968,45.29
1969,45.275
1970,45.28
1971,45.27
1972,45.29
1973,45.3
1974,45.3
1975,45.307
1976,45.3
1977,45.3
1978,45.3
1979,45.3
1980,45.2967
1981,45.2852
1982,45.29
1983,45.27
1984,45.26
1985,45.27
1986,45.2647
1987,45.245
1988,45.251
1989,45.23
1990,45.24
1991,45.26
1992,45.24
1993,45.24
1994,45.22
1995,45.23
1996,45.24
1997,45.26
1998,45.27
1999,45.28
2000,45.3
