,AAPL
1193,170.62
1194,170.56
1195,170.66
1196,170.78
1197,170.81
1198,170.85
1199,170.83
1200,170.76
1201,170.78
1202,170.77
1203,170.72
1204,170.85
1205,170.84
1206,170.84
1207,170.88
1208,170.86
1209,171.029
1210,171.019
1211,170.99
1212,170.96
1213,170.92
1214,170.958
1215,171.03
1216,171.04
1217,171.08
1218,171.1
1219,171.07
1220,171.06
1221,171.074
1222,171.045
1223,171.05
1224,171.08
1225,171.09
1226,171.145
1227,171.243
1228,171.15
1229,171.131
1230,171.249
1231,171.23
1232,171.21
1233,171.21
1234,171.17
1235,171.176
1236,171.15
1237,171.1
1238,171.08
1239,171.06
1240,171.027
1241,170.96
1242,170.95
1243,171.02
1244,171
1245,170.99
1246,170.97
1247,171.01
1248,170.95
1249,171.02
1250,171.065
1251,171
1252,170.99
1253,170.922
1254,170.88
1255,170.83
1256,170.85
1257,170.78
1258,170.778
1259,170.78
1260,170.744
1261,170.83
1262,170.79
1263,170.799
1264,170.81
1265,170.8
1266,170.85
1267,170.76
1268,170.728
1269,170.8
1270,170.77
1271,170.79
1272,170.74
1273,170.668
1274,170.69
1275,170.62
1276,170.513
1277,170.55
1278,170.5
1279,170.45
1280,170.475
1281,170.55
1282,170.59
1283,170.665
1284,170.8
1285,170.65
1286,170.67
1287,170.675
1288,170.71
1289,170.7
1290,170.74
1291,170.72
1292,170.71
1293,170.73
1294,170.79
1295,170.68
1296,170.58
1297,170.47
1298,170.46
1299,170.44
1300,170.38
1301,170.42
1302,170.52
1303,170.387
1304,170.4
1305,170.4
1306,170.35
1307,170.33
1308,170.36
1309,170.39
1310,170.44
1311,170.38
1312,170.49
1313,170.5
1314,170.392
1315,170.37
1316,170.45
1317,170.41
1318,170.32
1319,170.28
1320,170.35
1321,170.32
1322,170.32
1323,170.33
1324,170.28
1325,170.34
1326,170.41
1327,170.39
1328,170.463
1329,170.44
1330,170.45
1331,170.44
1332,170.37
1333,170.44
1334,170.446
1335,170.35
1336,170.35
1337,170.29
1338,170.19
1339,170.24
1340,170.24
1341,170.27
1342,170.39
1343,170.38
1344,170.495
1345,170.46
1346,170.49
1347,170.466
1348,170.43
1349,170.44
1350,170.409
1351,170.341
1352,170.41
1353,170.41
1354,170.435
1355,170.33
1356,170.34
1357,170.432
1358,170.39
1359,170.43
1360,170.42
1361,170.409
1362,170.425
1363,170.39
1364,170.375
1365,170.3
1366,170.27
1367,170.287
1368,170.24
1369,170.19
1370,170.22
1371,170.24
1372,170.28
1373,170.265
1374,170.29
1375,170.34
1376,170.385
1377,170.46
1378,170.42
1379,170.4
1380,170.31
1381,170.32
1382,170.33
1383,170.26
1384,170.31
1385,170.34
1386,170.4
1387,170.449
1388,170.46
1389,170.34
1390,170.36
1391,170.32
1392,170.339
1393,170.36
1394,170.37
1395,170.44
1396,170.51
1397,170.635
1398,170.77
1399,170.8
1400,170.797
1401,170.76
1402,170.7
1403,170.71
1404,170.64
1405,170.679
1406,170.62
1407,170.63
1408,170.61
1409,170.55
1410,170.545
1411,170.44
1412,170.539
1413,170.53
1414,170.52
1415,170.66
1416,170.597
1417,170.67
1418,170.64
1419,170.656
1420,170.67
1421,170.664
1422,170.691
1423,170.697
1424,170.59
1425,170.58
1426,170.58
1427,170.6
1428,170.631
1429,170.69
1430,170.59
1431,170.6
1432,170.51
1433,170.501
1434,170.52
1435,170.49
1436,170.3
1437,170.275
1438,170.312
1439,170.326
1440,170.261
1441,170.238
1442,170.19
1443,170.07
1444,170.088
1445,170.074
1446,170.19
1447,170.15
1448,170.185
1449,170.195
1450,170.256
1451,170.29
1452,170.275
1453,170.3
1454,170.215
1455,170.3
1456,170.31
1457,170.38
1458,170.31
1459,170.33
1460,170.28
1461,170.29
1462,170.24
1463,170.16
1464,170.2
1465,170.15
1466,170.2
1467,170.21
1468,170.223
1469,170.2
1470,169.99
1471,169.94
1472,169.915
1473,169.935
1474,170.016
1475,170.06
1476,170.04
1477,170
1478,170.01
1479,170.05
1480,169.89
1481,169.92
1482,169.85
1483,169.86
1484,169.908
1485,169.87
1486,169.85
1487,169.909
1488,169.92
1489,169.94
1490,169.92
1491,169.79
1492,169.86
1493,169.819
1494,169.792
1495,169.9
1496,169.93
1497,169.9
1498,169.96
1499,169.98
1500,170
1501,170.03
1502,169.98
1503,170.03
1504,170
1505,169.927
1506,170.01
1507,170.14
1508,170.07
1509,170.022
1510,170.045
1511,170.04
1512,169.93
1513,169.925
1514,169.925
1515,169.88
1516,169.93
1517,169.89
1518,169.83
1519,169.83
1520,169.86
1521,169.93
1522,169.86
1523,169.78
1524,169.73
1525,169.79
1526,169.7
1527,169.73
1528,169.81
1529,169.61
1530,169.55
1531,169.56
1532,169.651
1533,169.51
1534,169.52
1535,169.41
1536,169.38
1537,169.435
1538,169.4
1539,169.34
1540,169.391
1541,169.38
1542,169.46
1543,169.52
1544,169.446
1545,169.405
1546,169.37
1547,169.31
1548,169.18
1549,169.25
1550,169.35
1551,169.15
1552,169.245
1553,169.26
1554,169.25
1555,169.25
1556,169.25
1557,169.32
1558,169.19
1559,169.18
1560,169.245
1561,169.191
1562,169.34
1563,169.32
1564,169.38
1565,169.54
1566,169.41
1567,169.51
1568,169.51
1569,169.46
1570,169.43
1571,169.35
1572,169.27
1573,169.33
1574,169.31
1575,169.27
1576,169.23
1577,169.211
1578,169.265
1579,169.33
1580,169.26
1581,169.28
1582,169.16
1583,169.229
1584,169.361
1585,169.33
1586,169.33
1587,169.25
1588,169.27
1589,169.15
1590,169.12
1591,169.135
1592,169.165
1593,169.16
1594,169.295
1595,169.312
1596,169.34
1597,169.37
1598,169.24
1599,169.26
1600,169.29
1601,169.343
1602,169.25
1603,169.34
1604,169.14
1605,169.12
1606,169.1
1607,169.01
1608,169.11
1609,169.06
1610,169.21
1611,169.04
1612,169.195
1613,169.34
1614,169.26
1615,169.15
1616,169
1617,169
1618,169.05
1619,169.02
1620,169.01
1621,169.08
1622,169.19
1623,169.15
1624,169.2
1625,169.11
1626,169.168
1627,169.12
1628,169.13
1629,169.15
1630,169.09
1631,169.09
1632,169.2
1633,169.07
1634,169.11
1635,169.06
1636,169.03
1637,169.03
1638,168.95
1639,169.11
1640,169.01
1641,168.948
1642,168.86
1643,168.893
1644,168.95
1645,168.84
1646,169.01
1647,169
1648,169.07
1649,169.02
1650,169.02
1651,169.2
1652,169.14
1653,169.2
1654,169.29
1655,169.315
1656,169.28
1657,169.3
1658,169.26
1659,169.34
1660,169.35
1661,169.33
1662,169.47
1663,169.45
1664,169.52
1665,169.491
1666,169.5
1667,169.455
1668,169.42
1669,169.527
1670,169.53
1671,169.475
1672,169.487
1673,169.4
1674,169.435
1675,169.55
1676,169.43
1677,169.382
1678,169.428
1679,169.362
1680,169.44
1681,169.34
1682,169.232
1683,169.227
1684,169.25
1685,169.31
1686,169.38
1687,169.344
1688,169.34
1689,169.42
1690,169.31
1691,169.32
1692,169.45
1693,169.5
1694,169.455
1695,169.48
1696,169.398
1697,169.45
1698,169.45
1699,169.38
1700,169.3
1701,169.265
1702,169.31
1703,169.31
1704,169.28
1705,169.17
1706,169.12
1707,169.03
1708,169.04
1709,169.149
1710,169.22
1711,169.26
1712,169.21
1713,169.27
1714,169.19
1715,169.17
1716,169.3
1717,169.28
1718,169.29
1719,169.41
1720,169.395
1721,169.38
1722,169.5
1723,169.46
1724,169.47
1725,169.53
1726,169.49
1727,169.457
1728,169.39
1729,169.32
1730,169.36
1731,169.36
1732,169.35
1733,169.29
1734,169.33
1735,169.39
1736,169.32
1737,169.3
1738,169.285
1739,169.18
1740,169.24
1741,169.2
1742,169.06
1743,168.93
1744,168.91
1745,169.01
1746,168.93
1747,168.85
1748,168.92
1749,168.96
1750,169.05
1751,168.99
1752,169
1753,168.969
1754,168.959
1755,168.96
1756,168.94
1757,168.95
1758,168.92
1759,168.955
1760,168.94
1761,168.915
1762,168.93
1763,168.9
1764,169.096
1765,168.97
1766,168.98
1767,168.96
1768,168.94
1769,168.958
1770,169.002
1771,169.04
1772,169.21
1773,169.24
1774,169.22
1775,169.315
1776,169.31
1777,169.36
1778,169.38
1779,169.38
1780,169.29
1781,169.36
1782,169.335
1783,169.18
1784,169.14
1785,169.19
1786,169.205
1787,169.07
1788,169.1
1789,169.03
1790,169.03
1791,169.024
1792,169.03
1793,169
1794,169.042
1795,169.06
1796,169.04
1797,169.01
1798,169.095
1799,169.09
1800,168.99
1801,169.01
1802,168.998
1803,168.99
1804,168.961
1805,168.99
1806,169.05
1807,169.11
1808,168.94
1809,168.86
1810,168.98
1811,168.94
1812,168.94
1813,168.91
1814,168.95
1815,168.93
1816,168.88
1817,168.91
1818,168.9
1819,168.89
1820,168.886
1821,168.795
1822,168.77
1823,168.793
1824,168.921
1825,168.79
1826,168.79
1827,168.76
1828,168.76
1829,168.73
1830,168.66
1831,168.69
1832,168.72
1833,168.92
1834,169.04
1835,168.98
1836,168.89
1837,168.98
1838,169.13
1839,169.12
1840,169.22
1841,169.265
1842,169.21
1843,169.14
1844,169.14
1845,169.27
1846,169.32
1847,169.36
1848,169.3
1849,169.32
1850,169.505
1851,169.4
1852,169.1
1853,169.145
1854,169.155
1855,169.11
1856,169.21
1857,169.185
1858,169.1
1859,169.1
1860,169.11
1861,169.2
1862,169.26
1863,169.21
1864,169.15
1865,169.22
1866,169.15
1867,169.045
1868,169.07
1869,169.12
1870,169.1
1871,169.12
1872,169.125
1873,169.07
1874,169.08
1875,169.12
1876,169.04
1877,168.91
1878,168.88
1879,168.91
1880,168.92
1881,168.96
1882,168.99
1883,169.04
1884,169.17
1885,169.13
1886,169.13
1887,169.02
1888,168.98
1889,168.88
1890,168.77
1891,168.82
1892,168.79
1893,168.75
1894,168.855
1895,168.9
1896,168.92
1897,168.88
1898,168.8
1899,168.75
1900,168.8
1901,168.81
1902,168.821
1903,168.76
1904,168.82
1905,168.85
1906,168.793
1907,168.85
1908,169.01
1909,169.05
1910,169.065
1911,169.11
1912,169.016
1913,169
1914,169
1915,168.978
1916,168.98
1917,168.89
1918,168.87
1919,168.74
1920,168.72
1921,168.84
1922,168.833
1923,168.9
1924,168.77
1925,168.72
1926,168.64
1927,168.71
1928,168.759
1929,168.67
1930,168.67
1931,168.66
1932,168.59
1933,168.53
1934,168.74
1935,168.74
1936,168.81
1937,168.8
1938,168.88
1939,168.87
1940,168.75
1941,168.67
1942,168.7
1943,168.76
1944,168.811
1945,168.91
1946,168.875
1947,169.05
1948,169.12
1949,169.1
1950,169.23
1951,168.96
1952,169
1953,169.012
1954,168.903
1955,168.83
1956,168.8
1957,168.621
1958,168.73
1959,168.64
1960,168.675
1961,168.66
1962,168.63
1963,168.54
1964,168.56
1965,168.625
1966,168.53
1967,168.57
1968,168.532
1969,168.521
1970,168.55
1971,168.52
1972,168.5
1973,168.43
1974,168.38
1975,168.35
1976,168.52
1977,168.52
1978,168.5
1979,168.43
1980,168.33
1981,168.3
1982,168.266
1983,168.3
1984,168.45
1985,168.37
1986,168.44
1987,168.37
1988,168.38
1989,168.28
1990,168.29
1991,168.345
1992,168.49
1993,168.49
1994,168.49
1995,168.43
1996,168.276
1997,168.36
1998,168.42
1999,168.4
2000,168.5
