,AAPL
1732,148.16
1733,148.15
1734,148.17
1735,148.15
1736,148.145
1737,148.15
1738,148.16
1739,148.15
1740,148.15
1741,148.15
1742,148.15
1743,148.15
1744,148.16
1745,148.16
1746,148.159
1747,148.19000000000003
1748,148.17
1749,148.177
1750,148.17
1751,148.177
1752,148.2
1753,148.2
1754,148.16
1755,148.16400000000002
1756,148.18
1757,148.2
1758,148.195
1759,148.25
1760,148.25
1761,148.29
1762,148.24
1763,148.20999999999998
1764,148.23
1765,148.2
1766,148.18
1767,148.17
1768,148.19000000000003
1769,148.19000000000003
1770,148.19000000000003
1771,148.19000000000003
1772,148.17
1773,148.18
1774,148.18499999999997
1775,148.2
1776,148.24
1777,148.24
1778,148.21900000000002
1779,148.20999999999998
1780,148.21900000000002
1781,148.20999999999998
1782,148.215
1783,148.23
1784,148.20999999999998
1785,148.203
1786,148.22000000000003
1787,148.20999999999998
1788,148.20999999999998
1789,148.22000000000003
1790,148.22000000000003
1791,148.23
1792,148.25
1793,148.24
1794,148.25
1795,148.29
1796,148.3
1797,148.305
1798,148.295
1799,148.29
1800,148.295
1801,148.29
1802,148.331
1803,148.376
1804,148.38
1805,148.402
1806,148.45999999999998
1807,148.45
1808,148.45
1809,148.395
1810,148.395
1811,148.39000000000001
1812,148.39000000000001
1813,148.41500000000002
1814,148.39000000000001
1815,148.4
1816,148.385
1817,148.4
1818,148.412
1819,148.40599999999998
1820,148.40599999999998
1821,148.405
1822,148.405
1823,148.44000000000003
1824,148.42
1825,148.387
1826,148.384
1827,148.39000000000001
1828,148.409
1829,148.395
1830,148.409
1831,148.395
1832,148.41
1833,148.42
1834,148.413
1835,148.41700000000003
1836,148.43
1837,148.424
1838,148.4
1839,148.41
1840,148.4
1841,148.41
1842,148.42
1843,148.4
1844,148.38
1845,148.36
1846,148.367
1847,148.37
1848,148.356
1849,148.386
1850,148.386
1851,148.36
1852,148.36
1853,148.432
1854,148.44000000000003
1855,148.446
1856,148.43
1857,148.43
1858,148.432
1859,148.44000000000003
1860,148.432
1861,148.44000000000003
1862,148.465
1863,148.46900000000002
1864,148.484
1865,148.46800000000002
1866,148.46800000000002
1867,148.46099999999998
1868,148.5
1869,148.457
1870,148.457
1871,148.45799999999997
1872,148.51
1873,148.515
1874,148.51
1875,148.52
1876,148.52200000000002
1877,148.508
1878,148.48
1879,148.49
1880,148.49
1881,148.53
1882,148.519
1883,148.519
1884,148.52
1885,148.484
1886,148.52
1887,148.523
1888,148.5
1889,148.488
1890,148.5
1891,148.488
1892,148.51
1893,148.53
1894,148.55
1895,148.55
1896,148.505
