,AAPL
1652,153.361
1653,153.4
1654,153.45
1655,153.39
1656,153.41
1657,153.43
1658,153.47
1659,153.398
1660,153.49
1661,153.53
1662,153.49
1663,153.53
1664,153.518
1665,153.6
1666,153.65
1667,153.615
1668,153.619
1669,153.54
1670,153.51
1671,153.545
1672,153.52
1673,153.458
1674,153.513
1675,153.42
1676,153.51
1677,153.477
1678,153.46
1679,153.485
1680,153.506
1681,153.58
1682,153.63
1683,153.69
1684,153.65
1685,153.59
1686,153.55
1687,153.49
1688,153.431
1689,153.425
1690,153.25
1691,153.059
1692,152.96
1693,152.97
1694,152.95
1695,153
1696,153.13
1697,153.184
1698,153.11
1699,153.15
1700,153.225
1701,153.2
1702,152.894
1703,153.01
1704,152.901
1705,152.96
1706,152.94
1707,152.99
1708,153.02
1709,153.08
1710,153.077
1711,153.14
1712,153.16
1713,153.24
1714,153.115
1715,153.09
1716,153.16
1717,153.04
1718,153.08
1719,153.036
1720,152.978
1721,152.999
1722,153.04
1723,153.02
1724,153.03
1725,153.07
1726,153.05
1727,152.985
1728,152.984
1729,152.91
1730,152.95
1731,152.994
1732,152.9
1733,152.94
1734,152.95
1735,152.99
1736,153
1737,152.884
1738,152.84
1739,152.85
1740,152.77
1741,152.786
1742,152.98
1743,152.77
1744,152.76
1745,152.78
1746,152.776
1747,152.8
1748,152.69
1749,152.681
1750,152.68
1751,152.774
1752,152.74
1753,152.78
1754,152.76
1755,152.718
1756,152.8
1757,152.77
1758,152.82
1759,152.92
1760,152.969
1761,153.05
1762,153.01
1763,152.987
1764,152.945
1765,152.97
1766,152.971
1767,153.018
1768,153.117
1769,153.09
1770,152.848
1771,153.07
1772,153.09
1773,153.147
1774,153.31
1775,153.392
1776,153.4
1777,153.35
1778,153.36
1779,153.39
1780,153.34
1781,153.379
1782,153.32
1783,153.29
1784,153.331
1785,153.35
1786,153.43
1787,153.36
1788,153.37
1789,153.404
1790,153.42
1791,153.42
1792,153.45
1793,153.485
1794,153.51
1795,153.525
1796,153.482
1797,153.59
1798,153.49
1799,153.46
1800,153.381
1801,153.52
1802,153.476
1803,153.48
1804,153.41
1805,153.452
1806,153.48
1807,153.576
1808,153.54
1809,153.45
1810,153.55
1811,153.523
1812,153.57
1813,153.53
1814,153.514
1815,153.64
1816,153.622
1817,153.62
1818,153.667
1819,153.69
1820,153.68
1821,153.69
1822,153.78
1823,153.75
1824,153.7
1825,153.7
1826,153.869
1827,153.74
1828,153.68
1829,153.7
1830,153.639
1831,153.563
1832,153.52
1833,153.57
1834,153.55
1835,153.57
1836,153.63
1837,153.64
1838,153.65
1839,153.65
1840,153.69
1841,153.749
1842,153.68
1843,153.44
1844,153.48
1845,153.34
1846,153.36
1847,153.425
1848,153.405
1849,153.44
1850,153.47
1851,153.46
1852,153.501
1853,153.5
1854,153.51
1855,153.58
1856,153.45
1857,153.34
1858,153.37
1859,153.294
1860,153.348
1861,153.36
1862,153.36
1863,153.385
1864,153.44
1865,153.43
1866,153.36
1867,153.34
1868,153.25
1869,153.42
1870,153.377
1871,153.36
1872,153.28
1873,153.26
1874,153.253
1875,153.27
1876,153.31
1877,153.336
1878,153.32
1879,153.42
1880,153.32
1881,153.379
1882,153.42
1883,153.32
1884,153.29
1885,153.33
1886,153.393
1887,153.38
1888,153.381
1889,153.489
1890,153.461
1891,153.477
1892,153.437
1893,153.42
1894,153.37
1895,153.36
1896,153.34
1897,153.43
1898,153.5
1899,153.57
1900,153.64
1901,153.66
1902,153.64
1903,153.6
1904,153.61
1905,153.6
1906,153.415
1907,153.44
1908,153.45
1909,153.487
1910,153.52
1911,153.556
1912,153.558
1913,153.53
1914,153.49
1915,153.467
1916,153.458
1917,153.51
1918,153.53
1919,153.493
1920,153.52
1921,153.5
1922,153.53
1923,153.45
1924,153.45
1925,153.361
1926,153.354
1927,153.4
1928,153.45
1929,153.49
1930,153.7
1931,153.78
1932,153.777
1933,153.77
1934,153.69
1935,153.65
1936,153.6
1937,153.68
1938,153.712
1939,153.67
1940,153.769
1941,153.66
1942,153.84
1943,153.843
1944,153.76
1945,153.88
1946,153.885
1947,153.93
1948,153.84
1949,153.8
1950,153.84
1951,153.844
1952,153.85
1953,153.844
1954,153.908
1955,153.9
1956,153.86
1957,153.91
1958,153.92
1959,153.9
1960,153.87
1961,153.834
1962,153.686
1963,153.54
1964,153.62
1965,153.61
1966,153.633
1967,153.679
1968,153.71
1969,153.74
1970,153.714
1971,153.67
1972,153.7
1973,153.75
1974,153.87
1975,153.88
1976,153.882
1977,153.864
1978,153.83
1979,153.86
1980,153.84
1981,153.99
1982,153.91
1983,153.89
1984,153.88
1985,153.859
1986,153.89
1987,154
1988,153.942
1989,154.01
1990,153.998
1991,153.995
1992,154.01
1993,154.01
1994,153.94
1995,153.96
1996,153.95
1997,153.91
1998,153.912
1999,153.815
2000,153.9
