,PFE
1773,36.48
1774,36.475
1775,36.475
1776,36.475
1777,36.48
1778,36.48
1779,36.48
1780,36.475
1781,36.4742
1782,36.48
1783,36.475
1784,36.475
1785,36.4753
1786,36.4747
1787,36.47
1788,36.47
1789,36.475
1790,36.475
1791,36.475
1792,36.47
1793,36.4722
1794,36.471
1795,36.48
1796,36.477
1797,36.4778
1798,36.475
1799,36.473
1800,36.4752
1801,36.475
1802,36.47
1803,36.48
1804,36.4752
1805,36.48
1806,36.48
1807,36.49
1808,36.48
1809,36.4781
1810,36.484
1811,36.485
1812,36.4801
1813,36.495
1814,36.495
1815,36.5
1816,36.4812
1817,36.4799
1818,36.475
1819,36.47
1820,36.47
1821,36.475
1822,36.477
1823,36.475
1824,36.475
1825,36.48
1826,36.48
1827,36.485
1828,36.4801
1829,36.4829
1830,36.47
1831,36.46
1832,36.46
1833,36.47
1834,36.475
1835,36.475
1836,36.47
1837,36.4748
1838,36.47
1839,36.47
1840,36.47
1841,36.47
1842,36.4807
1843,36.4807
1844,36.48
1845,36.48
1846,36.475
1847,36.475
1848,36.485
1849,36.485
1850,36.49
1851,36.4801
1852,36.48
1853,36.49
1854,36.49
1855,36.48
1856,36.485
1857,36.485
1858,36.4801
1859,36.485
1860,36.485
1861,36.485
1862,36.4794
1863,36.485
1864,36.48
1865,36.48
1866,36.49
1867,36.485
1868,36.49
1869,36.485
1870,36.48
1871,36.48
1872,36.48
1873,36.48
1874,36.48
1875,36.4833
1876,36.47
1877,36.47
1878,36.47
1879,36.47
1880,36.47
1881,36.48
1882,36.485
1883,36.48
1884,36.48
1885,36.48
1886,36.485
1887,36.48
1888,36.485
1889,36.4866
1890,36.48
1891,36.48
1892,36.48
1893,36.48
1894,36.485
1895,36.485
1896,36.485
1897,36.485
1898,36.49
1899,36.487
1900,36.49
1901,36.4864
1902,36.49
1903,36.485
1904,36.485
1905,36.49
1906,36.485
1907,36.49
1908,36.485
1909,36.485
1910,36.485
1911,36.485
1912,36.485
1913,36.49
1914,36.49
1915,36.485
1916,36.48
1917,36.48
1918,36.485
1919,36.48
1920,36.485
1921,36.4855
1922,36.485
1923,36.485
1924,36.48
1925,36.495
1926,36.495
1927,36.51
1928,36.505
1929,36.5
1930,36.495
1931,36.49
1932,36.49
1933,36.49
1934,36.49
1935,36.49
1936,36.495
1937,36.495
1938,36.49
1939,36.495
1940,36.49
1941,36.49
1942,36.49
1943,36.49
1944,36.47
1945,36.475
1946,36.47
1947,36.47
1948,36.47
1949,36.47
1950,36.465
1951,36.475
1952,36.464
1953,36.465
1954,36.47
1955,36.45
1956,36.45
1957,36.4501
1958,36.45
1959,36.47
1960,36.46
1961,36.46
1962,36.47
1963,36.473
1964,36.4757
1965,36.475
1966,36.49
1967,36.4688
1968,36.49
1969,36.49
1970,36.5
1971,36.5
1972,36.5
1973,36.4686
1974,36.509
1975,36.51
1976,36.51
1977,36.51
1978,36.505
1979,36.495
1980,36.495
1981,36.495
1982,36.5
1983,36.4938
1984,36.505
1985,36.5052
1986,36.5
1987,36.505
1988,36.5048
1989,36.51
1990,36.5061
1991,36.505
1992,36.506
1993,36.505
1994,36.505
1995,36.51
1996,36.5095
1997,36.505
1998,36.51
1999,36.5
2000,36.4911
